Comment,Topic (choose from the 'key ' worksheet and type topic class number):,Sentiment (type Pos/Neg/Neu): ,Annotator Notes:
"Free wifi, charging stations, apps that stream real time data on traffic,events,etc.",2. Data governance and city data platforms and dashboards,Neu,
"Seeing the environment, culture, and economy become more integrated and environmentally sustainable.",5. Community resilience/adaptability/and sustainability,Neu,
"Expand street Kiosks to provide pertinent City information, improve street lights to reduce wait times and congestion, improve public engagement with residents",9.  Education and workforce development,Neu,
"Using technology to address issues with housing, public transit, and public health",1. Transportation systems/vehicles and autonomy,Neu,
Light rail,1. Transportation systems/vehicles and autonomy,Neu,
New infrastructure especially roads and sidewalks ,1. Transportation systems/vehicles and autonomy,Neu,
Rail and public transit that actually functions,1. Transportation systems/vehicles and autonomy,Neu,
"The City in general tends to be slow moving and slow to adopt new initiatives. However, the City does always welcome new, forward-looking initiatives. City leadership and City employees are generally accepting of new things. This makes me hopeful about San Antonio's future as a ""smart city"".",11. Other,Pos,
The current opportunity to accelerate the closing of the divide in my city and to be a true leader in resiliency and security.,4. Cybersecurity and privacy for public and private sectors,Neu,
"The term ""smart cities"" conveys the idea that a city is planned/designed with a purpose.  Things like services, parks, downtown center, are designed with a purpose and to encourage/discourage certain things.  ",8. Smart building technologies and IoT applications,Neu,
improve internet towers ,3. Wireless communications and broadband applications,Neu,
"I would like to see technology be used to improve movement of people, material (rail, aviation, etc) and improve public safety while respecting privacy and human rights.",8. Smart building technologies and IoT applications,Neu,
Nothing productive. Just more congestions.,11. Other,Neu,
"San Antonio is growing and will continue to grow, which is exciting for me because of all the new development that brings, but public transportation is not convenient.  A rail is needed to get to different parts of the city not only for convenience, but less traffic on the roads (less carbon emissions).",1. Transportation systems/vehicles and autonomy,Neu,
A growing city continues to grow but still maintains its culture of lifting up everyone to be successful,11. Other,Neu,
"Develop infrastructure(Power, technology, internet etc) that does not stop/ go down on high load - increase load capacity.",3. Wireless communications and broadband applications,Neu,
Make internet free to all,3. Wireless communications and broadband applications,Neu,
"Cities that use tech effectively and efficiently, with focus on advancing sustainability while connecting the public voice and providing equal access to tech throughout the community.",5. Community resilience/adaptability/and sustainability,Neu,
Easy access to the internet,3. Wireless communications and broadband applications,Neu,
The amount of potential and the idea of being able to get around without using a car ,1. Transportation systems/vehicles and autonomy,Neu,
"Walkable - designed with people in mind, sufficient green spaces for people, native plants, community gardens and urban farm spaces, public transportation, transparency ",7. Agriculture and rural productivity and quality of life,Neu,
"Share road construction information with Waze and Google Maps, launch free wi-fi citywide - not just in City facilities, implement automated vehicle location (AVL) technology for police and fire to control stoplights so they can get through more quickly, implement smart streetlighting, get all City services with a bill to be paid online.",8. Smart building technologies and IoT applications,Neu,
Possibility of new professional sports teams.,11. Other,Neu,
Affordable high speed internet available to all census tracts providing economic and educational access to all. ,3. Wireless communications and broadband applications,Neu,
"Flying cars,lots of Electronic devices,lots of tall buildings,less polution,no terrorist,no drugs",7. Agriculture and rural productivity and quality of life,Neu,
Complications. Down internet access,3. Wireless communications and broadband applications,Neu,
"The ability and ethos of the private and public sector to innovate and effect a stable diversified growth economy in SATX while simultaneously honoring and celebrating the past (ie: architecture, public parks, historic locations, robust art institutions). And, med- and bio-tech. ",4. Cybersecurity and privacy for public and private sectors,Neu,
A constantly up to date flow of information and less slow-moving archaic machines,11. Other,Neu,
"A city that works for a mass population, which is mostly lower income. ",10. Community well-being,Neu,
The diversity and ecomony.,5. Community resilience/adaptability/and sustainability,Neu,
Being protected again still online threats stolen information and information being collected while using the internet ,3. Wireless communications and broadband applications,Neu,
"high speed network communications, fast transit, improved traffic management",1. Transportation systems/vehicles and autonomy,Neu,
Convenience and easy to use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the city̥s people in the future.  ,3. Wireless communications and broadband applications,Neu,
health problem and invasion of privacy,10. Community well-being,Neu,
Railway and using technology to help people without impacting the environment ,5. Community resilience/adaptability/and sustainability,Neu,
better access for everyone,11. Other,Neu,
A safe and enjoyable city with beautiful parks and public spaces.,6. Public utilities for energy/water/and waste management,Neu,
"maintaining small town feel within communities, safe living neighborhoods",9.  Education and workforce development,Neu,
Monitoring crime.,4. Cybersecurity and privacy for public and private sectors,Neu,
that were are growing and trying to improve the quality of life for all. ,7. Agriculture and rural productivity and quality of life,Neu,
"The growth and progression. I want to see better public transportation, more small local businesses, and more overall growth of the city. ",1. Transportation systems/vehicles and autonomy,Neu,
Streamlined (similar) experiences across all services.,3. Wireless communications and broadband applications,Neu,
id like to see more city programs to help workers,9.  Education and workforce development,Neu,
Incorporate technology in all functions ,8. Smart building technologies and IoT applications,Neu,
Pretty cities with great technology,8. Smart building technologies and IoT applications,Neu,
"Public safety notifications, enable 911 service requests through text. SA Parent app to inform residents of child friendly free or low cost events, access to summer nutrition programs, subsidized day care or early childcare education options, maybe include animated video on history of SA.",8. Smart building technologies and IoT applications,Neu,
Technology to reduce emissions. Better public transportation and a rail system. More walkability and trails around the city. Increased funding for public parks that need to be updated.,1. Transportation systems/vehicles and autonomy,Neu,
Streamline gov service and make them access  online.,2. Data governance and city data platforms and dashboards,Neu,
"Connected and inclusive communities and systems that improve quality of life and increase efficiency, affordability, and sustainability.",5. Community resilience/adaptability/and sustainability,Neu,
 lower crime,2. Data governance and city data platforms and dashboards,Neu,
Easy connection to public services of all kinds; efficient public transportation; improved management of resources and services ,1. Transportation systems/vehicles and autonomy,Neu,
Inclusive design,11. Other,Neu,
the opportunity to have a livable and powerful urban core that is at par with other great cities. A walkable city that is a model for multimodal transportation and transit oriented communities. A cradle for immigrants who are seeking a better life and a community that is welcoming and where they can contribute and prosper.,1. Transportation systems/vehicles and autonomy,Neu,
Connected with resources to enable citizens to leverage. This could including mapping utilities that tie traditional public transit with last mile transit. ,1. Transportation systems/vehicles and autonomy,Neu,
"More multimodal infrastructure and dense housing, more accessible and convenient public transportation, more environmental conservation efforts, and increased native landscaping and recreation space throughout the city.",1. Transportation systems/vehicles and autonomy,Neu,
Safer and monitored public safety so that EMS can quickly respond in emergencies.  Solid emergency preparedness  for combined city and county safety.,4. Cybersecurity and privacy for public and private sectors,Neu,
"A high speed railway for fast, affordable commutes, better and more widespread information about upcoming elections, renew drivers licenses and car registration fully online, expand ebook and eaudiobook selections on the library website/app, more widespread information and instructions for ozone action days",8. Smart building technologies and IoT applications,Neu,
Cleanliness for sure!,6. Public utilities for energy/water/and waste management,Neu,
Crime suppression,4. Cybersecurity and privacy for public and private sectors,Neu,
That we have support to help us senior citizens enjoy life  ,7. Agriculture and rural productivity and quality of life,Neu,
Diversity ,10. Community well-being,Neu,
"I would like to continue to see more innovation to serve the needs of the expanding tech population, but also serve underserved communities as well.",8. Smart building technologies and IoT applications,Neu,
Rail Transit,1. Transportation systems/vehicles and autonomy,Neu,
"How so many other out of town visitors love the city that we call home and find so much interest and fascination! It can only continue to serve San Antonio and the locals, I hope.",11. Other,Pos,
To help people find the agency or organization that can help them with a particular problem.,11. Other,Neu,
Affordable internet for all,3. Wireless communications and broadband applications,Neu,
I would like technology to help older people understand how to use or creat a website ,8. Smart building technologies and IoT applications,Neu,
"a hybrid between nature and infrastructure, where we use trees and mother nature to combat problems like flooding, draughts, etc.",7. Agriculture and rural productivity and quality of life,Neu,
More private among the public,11. Other,Neu,
"Better traffic flow, and more focus on environmental issues such as eliminating single plastic use bags",5. Community resilience/adaptability/and sustainability,Neu,
Rail system so people use less cars. Less dependency on gas and coal ,6. Public utilities for energy/water/and waste management,Neu,
"I would like technology to be used for communication.  To inform citizens of events, accidents, scheduled maintenance, etc.",8. Smart building technologies and IoT applications,Neu,
New parks,10. Community well-being,Neu,
"Improve Public Transportation - better WiFi, connected systems showing real-time arrival expectations at major stops (based on transit app), information centers showing routes (based on downtown information panels).",1. Transportation systems/vehicles and autonomy,Neu,
better response time to the citizens request for change. ,9.  Education and workforce development,Neu,
Growth potential ,11. Other,Neu,
Opportunity to invest in smart transportation and accessible green spaces,1. Transportation systems/vehicles and autonomy,Neu,
"Clean air, smoke free, shade tree __, more park ",7. Agriculture and rural productivity and quality of life,Neu,
"more busses and trains, make it easier for people to go places without a car, im a bad driver and i am a danger to myself and others in a car.",1. Transportation systems/vehicles and autonomy,Neg,
Able to contact city on a timely manner.,11. Other,Neu,
Internet access,3. Wireless communications and broadband applications,Neu,
Depend on instruments rather than human ,11. Other,Neu,
Improved access to high speed internet for all of San Antonio and rail throughout the city.,3. Wireless communications and broadband applications,Neu,
"I think of traffic that moves smoothly, city transportation that is more available and construction projects that are conducted during the least disruptive times of the day.",1. Transportation systems/vehicles and autonomy,Neu,
I would see it as a city that is hands on with more technology ,8. Smart building technologies and IoT applications,Neu,
Our city is growing ,11. Other,Neu,
Next generation teachers,9.  Education and workforce development,Neu,
"being better than Austin, Houston, Dallas",11. Other,Neu,
"Eliminate in person visit requirements, paper forms, and increase accessibility for those who can't afford the time or expense to visit city offices. ",11. Other,Neu,
Inner city rail system for less congested roads,1. Transportation systems/vehicles and autonomy,Neu,
trying to revitalize some of the older neighborhoods. ,10. Community well-being,Neu,
Seeing women in leadership ,11. Other,Neu,
"A connected, data-driven city where things are done more efficiently because of the use of data.",2. Data governance and city data platforms and dashboards,Neu,
by being able to make transportation pick up and drop off easier also to be able to read the bus schedules online,1. Transportation systems/vehicles and autonomy,Neu,
The potential for public transportation to enhance the experience of getting around the region.,1. Transportation systems/vehicles and autonomy,Neu,
"Easy to use, easy to find subject matter. Real online solutions and responses ",3. Wireless communications and broadband applications,Neu,
Better online integration as it applies to accessing public transportation schedules/getting on public transit ,1. Transportation systems/vehicles and autonomy,Neu,
Adoption of pro-environmental policies and eco-friendly tech.,5. Community resilience/adaptability/and sustainability,Neu,
"convenience, but (possibly) less privacy",11. Other,Neu,
Continued growth in technology and access to public information while giving residences a  fair opportunity to grow along with it.,8. Smart building technologies and IoT applications,Neu,
The attention being focus on the environment & protecting it for our children/grandchildren,5. Community resilience/adaptability/and sustainability,Neu,
Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.,3. Wireless communications and broadband applications,Neu,
Make it easier for citizens to have input,11. Other,Neu,
Cities that have moved past car-dependent policies of the 1940s and 50s. San Francisco has an excellent public transit system and discourages cars in urban areas. It is great for residents and tourists alike to get around. There are fantastic city planning YouTube channels that give more info about public transit and city planning as it relates to car dependency,1. Transportation systems/vehicles and autonomy,Neu,
Hope the roads  and parks can be safer .,9.  Education and workforce development,Pos,
Growth and opportunity especially for residents most in need of support.,5. Community resilience/adaptability/and sustainability,Neu,
Cleanser city. More art.,11. Other,Neu,
Government intrusion,2. Data governance and city data platforms and dashboards,Neu,
The new buildings and what they have to offer,11. Other,Neu,
"Restoring the culture of the City of San Antonio.  Specifically, the historic sites and people.  Including Spanish and Tejanos in the making of this great city.  Protecting the rights and sights of the native people.",10. Community well-being,Neu,
More efficient traffic and improved first responder response times,9.  Education and workforce development,Neu,
Ease of availability to all.,11. Other,Neu,
"We can use technology to design permaculture smart cities where less concrete -highways - parking lots - box stores can be made into parks, green spaces, and self-sufficient productive gardens for pollinators, edible food, and overall sustain the health and ecosystem of our existence.  ",5. Community resilience/adaptability/and sustainability,Neu,
"A more walkable, environmentally friendly city.",5. Community resilience/adaptability/and sustainability,Neu,
Being able to afford living here with hopefully more and up to date senior housing.,5. Community resilience/adaptability/and sustainability,Pos,
That the City will continue to upgrade services to improve citizen's ability to live safely while sustaining an affordable life as the city grows.,5. Community resilience/adaptability/and sustainability,Neu,
Resilient cities with real time information and redundancies to minimize points of failure in a single system.,2. Data governance and city data platforms and dashboards,Neu,
WALKABLE CITIES WITH PUBLIC TRANSIT AND A HEALTHY ENVIRONMENT ,1. Transportation systems/vehicles and autonomy,Neu,
"Stupid ideas from the city of San Antonio, allow the residents to speak",11. Other,Neu,
"A well planned, well-spaced, and well-connected city.  Space is used efficiently and there is a balance between urban progress and maintaining a green, healthy, environmentally sound rural aspects; like large parks and greenways near city centers to break up the skyscraper crowding.",5. Community resilience/adaptability/and sustainability,Neu,
Improve access to info.;  Continue to support libraries and parks;  Bringing more Wi-Fi spots for people to access. ,3. Wireless communications and broadband applications,Neu,
"A connected infrastructure of all utilities, roads and communication networks ",1. Transportation systems/vehicles and autonomy,Neu,
Improved freeway access.,1. Transportation systems/vehicles and autonomy,Neu,
Improve traffic conditions ,1. Transportation systems/vehicles and autonomy,Neu,
Transportation- wifi everywhere ,1. Transportation systems/vehicles and autonomy,Neu,
The effort spent on enviromental issues,5. Community resilience/adaptability/and sustainability,Neu,
Making it affortable,11. Other,Neu,
"Very little, honestly.  If the City keeps aligning themselves with social justice, enviro lunacy and wokeism causes and NOT LISTENING or giving fair and equitable treatment to their actual TAXPAYING base, it is not going to be a bright future at all.    ",5. Community resilience/adaptability/and sustainability,Neu,
Those kiosks downtown.,6. Public utilities for energy/water/and waste management,Neu,
"To cut time in lines, to allow more business to be done online rather than in person, to educate public and increase participation, to match volunteers with needs, to provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings and needs, etc.",6. Public utilities for energy/water/and waste management,Neu,
"Create efficient, affordable solutions in the realms of public transportation, environmental safety and quality, and medicine. Public rail service technologies should be implemented in San Antonio where the current public transportation system offers limited utility to a small portion of the population. Rail service and improved public transportation would help reduce traffic in San Antonio, reduce pollution, reduce congestion, and improve public safety be removing drivers from the roadways. It also makes the city more accessible to visitors and improves quality of life for the city's workers who must commute to work but struggle to do in a timely and affordable manner due to the current state of VIA.",1. Transportation systems/vehicles and autonomy,Neu,
"for streets that are altered to one lane during construction, please lengthen the time a light is green to allow more people to pass.  at this point, on Cesar Chavez at 7:30 am it takes 15-20 to cross the intersection to get on I-10.  ",4. Cybersecurity and privacy for public and private sectors,Neu,
"The possibility of becoming a city with a mature urban culture: walking, biking, public transportation...",1. Transportation systems/vehicles and autonomy,Neu,
All people to communicate ,5. Community resilience/adaptability/and sustainability,Neu,
modern rail transportation!!!,1. Transportation systems/vehicles and autonomy,Neu,
Growth in solar power,6. Public utilities for energy/water/and waste management,Neu,
access to public transportation. access to the internet,1. Transportation systems/vehicles and autonomy,Neu,
"A place where people are able to access internet with little/no cost, better/more affordable public transportation. Monitor and control traffic so that there is less gridlock. ",3. Wireless communications and broadband applications,Neu,
Investing in innovative technology to bring quality jobs and better work-life balance to all.,8. Smart building technologies and IoT applications,Neu,
Public cameras and speeding cameras,4. Cybersecurity and privacy for public and private sectors,Neu,
Seeing the growth in core downtown ,11. Other,Neu,
Cities that use their resources efficently to provide good living spaces for their citizens today and into the future.,11. Other,Neu,
"No much. I don't see SA going the ""smart"" direction due to the cost, the available infrastructure and the influx of immigrants and Californians who will debate and disrupt SA's goals.",11. Other,Neu,
Keeping an open mind in trying to make San Antonio a nice clean safe place to live in as well as a tourist attraction.,4. Cybersecurity and privacy for public and private sectors,Neu,
"Walkable, well designed cities with smart, internet connected infrastructure to help minimize traffic, help residents discover local businesses, and public access points to the internet",3. Wireless communications and broadband applications,Neu,
"Nothing. This city needs so much work from top to bottom. If I had to say anything, I guess ��potential�� to be something. Something other than what it is now. ",11. Other,Neu,
accessing appointments and services in real time- to include telehealth or virtual meetings with development services and code compliance,8. Smart building technologies and IoT applications,Neu,
"accessibility of public services through mobile devices and affordable, sustainable mass transportation",1. Transportation systems/vehicles and autonomy,Neu,
"Out with the old and in with the new. We need new folks that can think outside of the box, folks that have been educated elsewhere, and have lived experiences outside of San Antonio and Texas. ",9.  Education and workforce development,Neu,
"Transportation technology (trams, light rail, intercity rail) + accessible wifi ",1. Transportation systems/vehicles and autonomy,Neu,
Growth and beauty,11. Other,Neu,
"security on public transportation. improving safety on the roads, ie stopping j walkers stepping out into moving traffic, stopping scooters being used on sidewalks and scooters unsafely swerving back and forth on the roads.",1. Transportation systems/vehicles and autonomy,Neu,
"USE GIS to better serve police, fire protection, engineering",9.  Education and workforce development,Neu,
"Technology, digital road signs information ",8. Smart building technologies and IoT applications,Neu,
Opportunity to capitalize on growth to enhance opportunities and the existing cultural fabric of the city.,10. Community well-being,Neu,
"We have tough, smart people, and now we have tech - San Antonio has everything needed to have good quality and equitable resources for its citizens",8. Smart building technologies and IoT applications,Neu,
Technology that makes day to day easier,8. Smart building technologies and IoT applications,Neu,
We have the potential to be great. We just have to prioritize what it means to be great. ,3. Wireless communications and broadband applications,Neu,
All services available online.,3. Wireless communications and broadband applications,Neu,
"Safety, security, and stability.",4. Cybersecurity and privacy for public and private sectors,Neu,
Moving to a less car dependent city would excite me the most about the future.,1. Transportation systems/vehicles and autonomy,Neu,
to continue to have the small town feel in a big town. Also continue to always feel like home.,11. Other,Neu,
San Antonio is growing very quickly. We must have better public transportation to support this. It is obvious by now that adding another lane to interstates or highways is not enough. We need a railway system within the city. We also need a cleaner city. There is too much garbage along the sides of the roads and it causes accidents. ,1. Transportation systems/vehicles and autonomy,Neu,
More computer based services.,2. Data governance and city data platforms and dashboards,Neu,
"Needs to be user friendly.  Needs to be well advertised.  Needs to be available.  As a senior citizen I am finding the greatest obstacle to my independence is health care.  It's difficult to get to Dr offices.  Not just in terms of travel, but also in terms of easy access to the offices.  Also, time in Dr waiting rooms is excessive.  I often spend 1-2 hours in waiting room for a 5-10 minute Dr visit.  How can technology help with this?  I don't know, but I'm sure it can.",11. Other,Neu,
I think we are heading in the right direction,11. Other,Pos,
The future community events such as fiesta. And new beginnings and changes to help support the less fortunate citizens of San Antonio.,10. Community well-being,Neu,
Using technology to improve access,8. Smart building technologies and IoT applications,Neu,
Use to build more smart businesses and increase diversity of businesses in downtown. ,9.  Education and workforce development,Neu,
Better transparency and community engagement!,1. Transportation systems/vehicles and autonomy,Neu,
reporting crimes,4. Cybersecurity and privacy for public and private sectors,Neu,
"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable.",8. Smart building technologies and IoT applications,Neu,
Friendly environment for new businesses opportunities ,5. Community resilience/adaptability/and sustainability,Neu,
Use data collected to prepare for the future. How much housing is needed? How much is inflation rising? Where can you build multi-use areas that are affordable?,2. Data governance and city data platforms and dashboards,Neu,
Promoting the 311 app so more people know about it. Having a centralized point of communication is important. Having a space for innovative suggestions online or digital teams to tackle issues at a rapid rate. ,8. Smart building technologies and IoT applications,Neu,
"Creating simple to use apps that provide real time information.  For example, software applications that keep track of public busses to see route information, or hardware sensors built into the road reflectors the work with already built in car sensors to keep track of traffic flow on our roads and highways. ",8. Smart building technologies and IoT applications,Neu,
Technology that allows for the use of street swiping neighborhood streets. ,8. Smart building technologies and IoT applications,Neu,
Like things that would improve city services,9.  Education and workforce development,Neu,
A city connected by electricity or futuristic tech to improve the city overall,8. Smart building technologies and IoT applications,Neu,
Ease of access ,2. Data governance and city data platforms and dashboards,Neu,
"Efficient, sustainable living",5. Community resilience/adaptability/and sustainability,Neu,
San Antonio is growing so fast- I hope they make wifi free like they do in some bigger cities,3. Wireless communications and broadband applications,Pos,
Apps to make information about public services more available to the public would be great.,8. Smart building technologies and IoT applications,Neu,
Free access to internet and much more opportunities to use technology in everyday life,3. Wireless communications and broadband applications,Neu,
needs to be more user friendly - many times I cannot find what I'm looking for on SA govt sites,3. Wireless communications and broadband applications,Neu,
Smart street lights. Crime reporting stations like on college campuses on walking streets.,9.  Education and workforce development,Neu,
Responsive city leaders.,10. Community well-being,Neu,
High tech,8. Smart building technologies and IoT applications,Neu,
More public accessibility for disabled individuals.,1. Transportation systems/vehicles and autonomy,Neu,
Being able to develop true to our culture- being a city that cares about livelihoods of San Antonians more than economic wealth for the sake of wealth. We have Austin as a cautionary tale and we have the opportunity to be a leader in environmental and cultural wealth for the benefit of San Antonians without trading our authenticity.,5. Community resilience/adaptability/and sustainability,Neu,
Corporate efforts to sell communities that buying their services are rational choices.,11. Other,Neu,
"City is growing very rapid, we have the opportunity to be prepared on how we handle this with proper department engagement and keeping violence down with growth",11. Other,Neu,
"que se usara la tecnologia para ayudar a la comunidad a mejorar el uso de los servicios publicos, y ahorrar de una manera mas trasparente, usar la tecnologia para improvisar, avanzar, prevenir con sugerencias o ideas para ser incluidos desde nuestros hogares ",11. Other,Neu,
Small town mentality,11. Other,Neu,
Public data collected and used to improve quality of life.,2. Data governance and city data platforms and dashboards,Neu,
"Nothing, I'm a pessimist, I doubt any of these changes will actually take place.",11. Other,Neg,
the diverisity of the city and the care that you are putting into the planning of the city. thank you,10. Community well-being,Neu,
"A fear that the ""smart""-ness will be based on appearances only instead of an actual collaboration by all stakeholders with built-in accountability and authentic evaluation with actual performance measures.",8. Smart building technologies and IoT applications,Neu,
"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity ",1. Transportation systems/vehicles and autonomy,Neu,
Expanding and getting people to use safe public transportation.,1. Transportation systems/vehicles and autonomy,Neu,
Hopefully someday being an expansion city for an MLB team,11. Other,Pos,
Technology to improve public services --- have more Road Signs be visible to view when driving in the night hours - making sure that the street lights are working properly ,8. Smart building technologies and IoT applications,Neu,
Exploration of new electric generation ideas such as thorium chlorine/salt based technology.,8. Smart building technologies and IoT applications,Neu,
